"iso3c","emissions","pop","emispercap","cumpop"
"SLB",46.36,674993,68.6821937412684,674993
"QAT",114.76,2807235,40.8800830710646,3482228
"BHR",54.41,1494188,36.4144271002043,4976416
"KWT",136.69,4441100,30.7784107540925,9417516
"ARE",243.55,9211657,26.439325736944,18629173
"TKM",157.33,6158420,25.5471370903576,24787593
"GUY",19.8,798753,24.7886392914956,25586346
"AUS",608.49,25340217,24.0128172540906,50926563
"SUR",13.83,600301,23.0384423814053,51526864
"BRN",9.63,438048,21.9838921761999,51964912
"OMN",100.28,4602768,21.7868899757711,56567680
"BWA",52.34,2499702,20.9384958687075,59067382
"CAN",774.29,37601230,20.5921455228991,96668612
"SAU",723.15,35827362,20.184293780826,132495974
"GRD",2.39,122724,19.4745933965647,132618698
"LBY",126.69,6569088,19.2857821359677,139187786
"TTO",28.47,1519955,18.7308176886816,140707741
"MNG",59.15,3232430,18.2989268135737,143940171
"BLZ",6.85,389095,17.604955088089,144329266
"USA",5771,328329953,17.5768307072489,472659219
"LUX",10.2,620001,16.4515863684091,473279220
"PLW",0.29,17916,16.186648805537,473297136
"PRY",96.6,6530026,14.7932029673389,479827162
"KAZ",271.68,18513673,14.6745597159462,498340835
"NZL",72.59,4979200,14.5786471722365,503320035
"BRB",3.79,280180,13.5270183453494,503600215
"RUS",1924.82,144406261,13.3292004562046,648006476
"ATG",1.22,92117,13.2440266183224,648098593
"KOR",652.66,51764822,12.6081762630228,699863415
"MYS",396.11,32804020,12.0750444610142,732667435
"IRL",58.68,4934340,11.892167949513,737601775
"SGP",67.26,5703569,11.7926161671753,743305344
"BOL",138.72,11777315,11.7785760166897,755082659
"EST",14.83,1326898,11.1764431026349,756409557
"FIN",58.42,5521606,10.5802550924496,761931163
"VEN",299.6,28971683,10.3411320633323,790902846
"IRN",893.78,86564202,10.3250533055223,877467048
"URY",34.36,3428409,10.0221414656186,880895457
"NLD",173.59,17344874,10.0081441929183,898240331
"GNQ",15.24,1553031,9.81306876681792,899793362
"ZAF",562.19,58087055,9.67840425031016,957880417
"ISR",87.26,9054000,9.63772918047272,966934417
"BEL",108.22,11488980,9.41946108357748,978423397
"JPN",1134.45,126633000,8.95856530288314,1105056397
"CAF",46.58,5209324,8.94165922488215,1110265721
"SRB",61.86,6945235,8.90682604692282,1117210956
"ARG",398.91,44938712,8.87675641438055,1162149668
"GAB",19.68,2242785,8.77480453989125,1164392453
"NAM",21.22,2446644,8.67310487345114,1166839097
"DEU",720.23,83092962,8.66776177746558,1249932059
"CHN",12055.41,1407745000,8.56363190776739,2657677059
"POL",320.23,37965475,8.434768694452,2695642534
"AND",0.63,76343,8.25223006693476,2695718877
"SVN",16.81,2088385,8.04928210076207,2697807262
"SYC",0.78,97625,7.98975672215109,2697904887
"BHS",3.18,404557,7.86044982536453,2698309444
"AUT",69.8,8879920,7.86043117505563,2707189364
"IRQ",321.31,41563520,7.73057719846635,2748752884
"ISL",2.77,360563,7.68242997756287,2749113447
"ZWE",117.96,15354608,7.68238433700164,2764468055
"DNK",44.06,5814422,7.5777093578691,2770282477
"COD",679.57,89906890,7.5585975668828,2860189367
"GRC",79.91,10721582,7.45319114287425,2870910949
"KNA",0.35,47712,7.33568075117371,2870958661
"BIH",24.5,3360711,7.2901240243508,2874319372
"IDN",1959.71,269582878,7.2694156785432,3143902250
"BLR",65.33,9419758,6.93542233250578,3153322008
"BRA",1451.63,211782878,6.85433125523962,3365104886
"SVK",37,5454147,6.7838288920339,3370559033
"CYP",8.29,1228836,6.74622162762159,3371787869
"PNG",63.47,9542486,6.65130658824126,3381330355
"DZA",282.23,42705368,6.60877105660347,3424035723
"TCD",105.68,16126866,6.5530401257132,3440162589
"LTU",18.3,2794137,6.54942832080174,3442956726
"GBR",429.13,66836327,6.42061015710812,3509793053
"HUN",62.48,9771141,6.39434023109481,3519564194
"ITA",376.19,59729081,6.29827202598346,3579293275
"ESP",293.08,47134837,6.21790630144748,3626428112
"MNE",3.86,622028,6.20550843370395,3627050140
"THA",437.18,71307763,6.13088928340102,3698357903
"LBN",35.13,5781907,6.07585006123412,3704139810
"PRT",61.7,10286263,5.99829111894184,3714426073
"PAN",25.3,4232532,5.97750944351986,3718658605
"PER",190.66,32824861,5.8084023569818,3751483466
"SSD",60.33,10447666,5.77449547104588,3761931132
"NRU",0.07,12132,5.76986482030992,3761943264
"NIC",38.41,6663924,5.76387125663498,3768607188
"ECU",98.7,17343740,5.69081409200092,3785950928
"UZB",185.39,33580350,5.52078819905093,3819531278
"LAO",39.42,7212053,5.46585001524531,3826743331
"MKD",11.26,2076694,5.4220795167704,3828820025
"COG",30.07,5570733,5.39785338841406,3834390758
"MUS",6.83,1265711,5.39617653634993,3835656469
"COL",270.53,50187406,5.3903961483883,3885843875
"MEX",670.84,125085311,5.36305977605956,4010929186
"AZE",52.89,10024283,5.27618783308492,4020953469
"FRA",352.1,67388001,5.22496579175868,4088341470
"CHE",44.26,8575280,5.16134750118947,4096916750
"MDV",2.6,504508,5.15353572193107,4097421258
"MHL",0.23,44728,5.14219280987301,4097465986
"MDA",13.5,2664224,5.06714150161548,4100130210
"NOR",26.98,5347896,5.04497469659096,4105478106
"UKR",221.29,44386203,4.98555823754512,4149864309
"TLS",6.38,1280438,4.9826699926119,4151144747
"ZMB",91.36,18380477,4.9704912445961,4169525224
"CMR",124.79,25782341,4.840134571178,4195307565
"GEO",17.64,3720161,4.7417302638246,4199027726
"LVA",8.93,1913822,4.66605567288912,4200941548
"MMR",242.95,53040212,4.58048697090426,4253981760
"VNM",438.11,95776716,4.57428504857068,4349758476
"KHM",71.77,16207746,4.4281296116067,4365966222
"HRV",17.92,4065253,4.40808973020867,4370031475
"MLT",2.13,504062,4.22567065162619,4370535537
"LIE",0.16,38482,4.15778805675381,4370574019
"LCA",0.74,178583,4.14373148619969,4370752602
"ROU",78.36,19371648,4.04508692290919,4390124250
"AGO",128.29,32353588,3.96524799660551,4422477838
"WSM",0.79,211905,3.72808569878011,4422689743
"DOM",39.76,10881882,3.6537797414087,4433571625
"JAM",10.15,2813773,3.60725616458755,4436385398
"ARM",10,2820602,3.54534244817241,4439206000
"MOZ",106.74,30285595,3.52444784393373,4469491595
"JOR",36.57,10698683,3.4181777327172,4480190278
"CUB",38.19,11316697,3.37465958485943,4491506975
"EGY",351.96,105618671,3.33236535422795,4597125646
"VCT",0.34,104924,3.24044069993519,4597230570
"PRK",82.69,25755441,3.21058373646174,4622986011
"LBR",15.87,4985289,3.18336609973865,4627971300
"GIN",40.61,12877539,3.15355286440988,4640848839
"TUN",37.81,12049314,3.13793797721596,4652898153
"DMA",0.22,71428,3.08002464019712,4652969581
"ALB",8.77,2854191,3.07267453369449,4655823772
"MRT",13.21,4383849,3.01333371655821,4660207621
"TON",0.31,104951,2.95375937342188,4660312572
"SDN",127.07,43232093,2.93925163419685,4703544665
"CHL",55.33,19039485,2.90606599915912,4722584150
"SWE",29.87,10278887,2.90595664686264,4732863037
"VUT",0.87,304404,2.85804391532306,4733167441
"HND",28.14,9958829,2.82563341533427,4743126270
"TUV",0.03,10956,2.7382256297919,4743137226
"BFA",56.31,20951639,2.68761789948748,4764088865
"SOM",42.51,15981300,2.65998385613185,4780070165
"TZA",154.89,59872579,2.58699395594768,4839942744
"MAR",91.15,36304408,2.51071440140272,4876247152
"BGR",17.48,6975761,2.50581979514493,4883222913
"IND",3363.59,1383112050,2.43189985945101,6266334963
"SYR",48.48,20098251,2.41215019157637,6286433214
"GTM",38.49,16604026,2.31811248669449,6303037240
"SWZ",2.69,1169613,2.2999060372961,6304206853
"SLV",13.92,6280217,2.21648392085815,6310487070
"MLI",44.16,20567424,2.14708463247512,6331054494
"PHL",236.79,110380804,2.14520995878957,6441435298
"GNB",4.21,1970457,2.13656019897922,6443405755
"KGZ",13.64,6456200,2.11269787181314,6449861955
"SEN",33.6,16000781,2.09989749875334,6465862736
"BEN",25.78,12290444,2.09756457944074,6478153180
"CIV",51.51,26147551,1.96997416698795,6504300731
"PAK",439.49,223293280,1.9682186584388,6727594011
"ERI",6.78,3498818,1.93779727896678,6731092829
"NER",43.96,23443393,1.87515518764711,6754536222
"STP",0.4,214599,1.86394158407076,6754750821
"TJK",17.38,9337003,1.86141099022888,6764087824
"NGA",354.33,203304492,1.74285376832697,6967392316
"LKA",37.9,21803000,1.7382928954731,6989195316
"NPL",48.37,28832496,1.6776209732241,7018027812
"CRI",8.48,5084532,1.66780344779028,7023112344
"ETH",183.37,114120594,1.60680902169156,7137232938
"MDG",40.22,27533134,1.46078539406375,7164766072
"KEN",73.4,50951450,1.44058706867027,7215717522
"BGD",237.7,165516222,1.43611301132768,7381233744
"UGA",59.15,42949080,1.37721227090313,7424182824
"CPV",0.75,577030,1.29975911131137,7424759854
"DJI",1.38,1073994,1.28492337946022,7425833848
"SLE",9.45,8046828,1.17437579130559,7433880676
"GMB",2.86,2508883,1.1399495313253,7436389559
"LSO",2.53,2225702,1.13672001013613,7438615261
"TGO",8.71,8243094,1.05664208123794,7446858355
"MWI",19.34,18867337,1.02505191909171,7465725692
"HTI",11.13,11160438,0.997272687684838,7476886130
"KIR",0.12,124241,0.965864730644473,7477010371
"COM",0.7,790986,0.884971415423282,7477801357
"YEM",25.26,31546691,0.800717894627998,7509348048
"AFG",28.79,37769499,0.762255279054668,7547117547
"BDI",8.04,11874838,0.677061868128222,7558992385
"RWA",7,12835028,0.54538252662947,7571827413
"BTN",0.36,767459,0.46908043296124,7572594872
"GHA",12.75,31522290,0.40447569005932,7604117162
"FJI",-0.16,918465,-0.174203698562275,7605035627
"WLD",47357.79,7605035627,6.22716214923,0
"HIC",14228.58,1188337504,11.9735175841088,1188337504
"UMC",20052.1,2398606180,8.35989674636793,3586943684
"LMC",10782.41,3309106792,3.25840496476791,6896050476
"LIC",1995.1,680013468,2.93391247950989,7576063944
