"iso3c","pop","ghg","co2","ch4","ghgpercap","co2percap","ch4percap","cumpop_ghg","cumpop_co2","cumpop_ch4"
"GRD",122724,2.39,0.33,2.04,19.4745933965647,2.68896059450474,16.622665493302,128044949,3633448916,122724
"TKM",6158420,157.33,72.87,80.48,25.5471370903576,11.832580434592,13.0682869956905,24112600,456890095,6281144
"BHR",1494188,54.41,33.26,17.41,36.4144271002043,22.2595817929203,11.6518135602749,4301423,4301423,7775332
"LBY",6569088,126.69,56.8,63.35,19.2857821359677,8.64655793924514,9.64365220864753,134614037,690335764,14344420
"BRB",280180,3.79,1.25,2.35,13.5270183453494,4.46141766007567,8.38746520094225,636513606,2946195719,14624600
"QAT",2807235,114.76,91.97,21.45,40.8800830710646,32.7617744862828,7.64097056356165,2807235,2807235,17431835
"NZL",4979200,83.2,34.01,32.52,16.7095115681234,6.83041452442159,6.53116966580977,617701837,2596097852,22411035
"URY",3428409,36.12,6.49,20.74,10.5354991192708,1.8930063478424,6.04945325951484,713108733,4372441024,25839444
"MNG",3232430,56.05,23.07,18.79,17.3398959915605,7.13704550446568,5.81296424052493,467696375,2581660095,29071874
"KWT",4441100,136.69,92.65,24.71,30.7784107540925,20.8619486163338,5.56393686248902,8742523,8742523,33512974
"ARE",9211657,243.55,188.86,49.8,26.439325736944,20.5022831397218,5.40619347854572,17954180,17954180,42724631
"AUS",25340217,585.98,386.53,126.07,23.124505997719,15.2536183885087,4.97509551713784,49452817,86556444,68064848
"RUS",144406261,2476.84,1703.59,684.3,17.1518878949438,11.7972031697435,4.73871420298044,612102636,653061178,212471109
"TTO",1519955,28.34,17.19,7.01,18.645288840788,11.309545348382,4.6119786441046,136133992,673094806,213991064
"PRY",6530026,49.55,8.21,29.17,7.58802491751181,1.25726911347673,4.4670572521457,2749721739,6000489976,220521090
"OMN",4602768,100.26,76.03,20.24,21.7825447643679,16.5183211493606,4.39735394006389,54055585,22556948,225123858
"VEN",28971683,255.74,112.34,119.24,8.82724003296598,3.87757935912801,4.11574294803654,2636073481,3202731990,254095541
"TLS",1280438,5.91,0.62,5.01,4.61560809660444,0.484209309626862,3.91272361488803,3880930393,6858303247,255375979
"GNQ",1553031,11.41,5.35,5.67,7.34692353211237,3.44487650278713,3.6509251908043,2764665254,3605168557,256929010
"BRN",438048,9.3,6.99,1.59,21.2305500767039,15.9571553802323,3.62973920666228,54493633,22994996,257367058
"TCD",16126866,81.65,2.25,52.72,5.06297999871767,0.139518738482728,3.26907906347086,3550847195,7470186542,273493924
"IRQ",41563520,320.82,174.56,134.69,7.71878801410468,4.19983677994549,3.24058212586422,2743191713,3074609084,315057444
"IRL",4934340,61.48,35.75,15.46,12.459619726245,7.24514322077522,3.13314445295622,693304885,2578427665,319991784
"SAU",35827362,723.15,523.78,110.25,20.184293780826,14.619552508499,3.07725698587577,90320995,450713759,355819146
"SSD",10447666,50.91,1.7,30.17,4.87285868441813,0.162715768287386,2.88772631131202,3780153078,7274636449,366266812
"ARG",44938712,369.05,168.1,128.8,8.21229589312662,3.7406501548153,2.86612575812142,2695316352,3338350113,411205524
"CAN",37601230,736.93,580.21,101.7,19.5985610045203,15.4306122432697,2.70469875586517,127922225,60596226,448806754
"KAZ",18513673,274.67,212.11,48.89,14.8360619743041,11.4569377994307,2.64075097361826,636233426,671574851,467320427
"GAB",2242785,13.17,5.25,5.87,5.8721634039821,2.34083962573318,2.61728163867691,3190469229,3771629973,469563212
"IRN",86564202,893.72,630.01,213.68,10.3243601783564,7.27795076306485,2.46845688013158,799672935,2573493325,556127414
"BOL",11777315,60.79,22.34,28.36,5.16161790696776,1.89686698538674,2.40801914528057,3534171093,4369012615,567904729
"SUR",600301,4.46,2.65,1.42,7.42960614758263,4.41445208320492,2.36547998420792,2756136462,3014184021,568505030
"USA",328329953,6001.21,4817.72,744.51,18.2779851340581,14.6734099523354,2.26756649278356,464463945,414886397,896834983
"GUY",798753,5.68,2.85,1.81,7.11108440281288,3.56806171620013,2.26603217765692,2776233301,3464234177,897633736
"ATG",92117,1.22,0.52,0.2,13.2440266183224,5.64499495207182,2.17115190464301,688370545,2630208905,897725853
"DZA",42705368,282.01,171.25,92.34,6.60361947940596,4.01003452306043,2.16225744735416,2828415789,3125345106,940431221
"BRA",211782878,1057.26,434.3,431.07,4.99218827312376,2.05068513612323,2.03543366711638,3765294297,4320930892,1152214099
"CAF",5209324,19.73,0.24,9.51,3.78743959868881,0.0460712368821751,1.82557276145619,3937734264,7593412370,1157423423
"BLR",9419758,86.83,57.67,17.02,9.21785888766994,6.12223795982869,1.80684047297181,982685601,2623433805,1166843181
"KNA",47712,0.35,0.25,0.08,7.33568075117371,5.23977196512408,1.6767270288397,2764712966,2707683041,1166890893
"VUT",304404,0.87,0.21,0.51,2.85804391532306,0.68987266921591,1.67540505381007,4505875848,6427713587,1167195297
"COG",5570733,19.2,7.26,9.26,3.4465841389275,1.30323962753196,1.66225880867024,4317858008,5973861699,1172766030
"SRB",6945235,61.93,45.95,11.54,8.91690489954624,6.61604682922896,1.6615708467748,2607101798,2608390983,1179711265
"UZB",33580350,188.76,116.71,53.98,5.62114450861888,3.47554447764839,1.60748771230794,3307543395,3603615526,1213291615
"MRT",4383849,14.29,3.95,7.01,3.2596925669657,0.901034684360707,1.59905142718191,4438559211,6085652632,1217675464
"ECU",17343740,72.53,39.29,27.17,4.1819123211026,2.26537067552904,1.56655946180005,3914003428,4080571971,1235019204
"NAM",2446644,10.66,4.22,3.79,4.35698859335482,1.72481161950819,1.54906067249669,3896155626,5791743044,1237465848
"MUS",1265711,6.85,4.17,1.95,5.41197793177115,3.29459094532638,1.54063605356989,3333550616,3619377379,1238731559
"COL",50187406,187.34,81.04,76.84,3.73280898399092,1.61474773173174,1.53106139815236,3987921670,5850369647,1288918965
"LCA",178583,0.88,0.54,0.27,4.92768068629153,3.02380405749707,1.51190202874854,3769705412,3624292556,1289097548
"ISL",360563,2.85,1.64,0.53,7.9043052115719,4.54844229718524,1.46992342530986,2695774540,2945915539,1289458111
"AZE",10024283,54.8,35.51,14.67,5.46672515131506,3.54239799494887,1.46344631331737,3321632931,3474258460,1299482394
"WSM",211905,0.68,0.3,0.31,3.20898515844364,1.4157287463722,1.4629197045846,4438947468,5857142703,1299694299
"NIC",6663924,18.8,5.24,9.42,2.82116062548132,0.78632349348522,1.41358154744862,4512539772,6326321935,1306358223
"GEO",3720161,17.6,10.11,5.19,4.73097804100414,2.71762431787226,1.3951009109552,3783873239,3633326192,1310078384
"ZAF",58087055,555.43,439.64,80.13,9.56202720210208,7.56863986304694,1.37948119421789,885485762,2472527597,1368165439
"MMR",53040212,133.25,36.72,73.05,2.51224486055976,0.692304925176393,1.37725693856578,4609270013,6427409183,1421205651
"BLZ",389095,1.55,0.64,0.53,3.98360297613693,1.64484251917912,1.36213521119521,3921643058,5794986330,1421594746
"DNK",5814422,43.2,29.7,7.78,7.4298012768939,5.10798837786456,1.33805217440358,2755536161,2780333790,1427409168
"SDN",43232093,106.06,20.62,55.38,2.45327007415533,0.47696048396269,1.28099280319368,6084175490,6901535340,1470641261
"GIN",12877539,28.33,3.95,16.25,2.19995450994169,0.306735627047994,1.26188707329871,6137933587,7100144567,1483518800
"MNE",622028,3.83,2.6,0.78,6.15727909354563,4.17987614705447,1.25396284411634,3012509203,3078529757,1484140828
"MDA",2664224,13.39,8.86,3.34,5.02585368197269,3.32554620031949,1.25364834188116,3553511419,3618111668,1486805052
"PAN",4232532,20.88,13.34,4.96,4.93321727986936,3.1517777065832,1.17187536916437,3769526829,3624113973,1491037584
