"month","2019","2020","2021","2022","upper","lower"
1,338.4278973,307.8717094,311.8585184,312.4410173,338.4278973,307.8717094
2,289.252789,263.1492123,270.7550899,272.3530254,289.252789,263.1492123
3,286.7798365,257.64780424,284.8941797,308.7944929,286.7798365,257.64780424
4,264.7745251,184.59624502,265.7905527,265.8716464,265.7905527,184.59624502
5,259.3074384,191.54688027,236.6486073,247.8380851,259.3074384,191.54688027
6,233.551838,204.28585861,222.6490345,242.5270486,233.551838,204.28585861
7,246.8533288,220.6934817,229.575493,243.0796836,246.8533288,220.6934817
8,232.0836107,213.756757,215.3999961,234.6812812,232.0836107,213.756757
9,248.7728077,239.0585344,251.1422372,266.0870175,251.1422372,239.0585344
10,279.8752311,258.8187147,273.935507,266.4473106,279.8752311,258.8187147
11,301.9496971,275.6150633,306.7607375,293.3897822,306.7607375,275.6150633
12,293.3121722,293.0769399,315.9195794,315.6881736,315.9195794,293.0769399
